#,Culture,Culture,"A measure of our nation's artistic, literary, and philosophical sophistication, reflecting our society's creative and intellectual achievements beyond pure scientific progress. Unlike education which consistently reduces emotional extremes, a rich cultural foundation tends to moderate both high and low emotional states towards a balanced middle ground, tempering both zealotry and apathy into measured engagement.",
,,,,
,,,,
#,Anarchism,Culture: Anarchism (V),"A belief in minimizing hierarchical power structures to maximize individual liberty and natural social order. Though this promotes emancipation, extreme anarchism can lead to destructive chaos and survival-of-the-fittest social dynamics. VIRTUES: Liberty, Laissez-Faire, Emancipation --- VICES: Chaos, Law of the Jungle",
#,Authoritarianism,Culture: Authoritarianism (V),"The belief that social order requires strong central control and hierarchical organization. While this can provide safety and stability, it often degenerates into oppressive statism that crushes individual freedom. VIRTUES: Control, Safety --- VICES: Statalism, Oppression",
#,Isolationism,Culture: Isolationism (VI),"A preference for cultural and economic self-sufficiency over international engagement, prioritizing community stability and autonomy. However, this can lead to harmful insularity and economic stagnation through excessive autarky. VIRTUES: Community, Stability, Autonomy --- VICES: Autarky, Insularity",
#,Globalism,Culture: Globalism (VI),"An embrace of international interconnection and cultural exchange, promoting growth and syncretic development. While this drives innovation and cultural evolution, it can threaten local traditions and economic independence. VIRTUES: Growth, Flow, Syncretism --- VICES: ",
#,Militarism,Culture: Militarism (VII),"The glorification of military power and martial virtues, emphasizing strength and national ambition. Though this can build defensive capability, it often leads to destructive imperialism and the subjugation of others. VIRTUES: Power, Ambition, Conquest --- VICES: Subjugation, Imperialism",
#,Pacifism,Culture: Pacifism (VII),"A commitment to non-violence and diplomatic conflict resolution, valuing dialogue and mutual understanding. While noble in intent, extreme pacifism can enable aggressors through naive complacency about human nature. VIRTUES: Dialogue, Understanding --- VICES: Naivete, Complacency, Harmlessness",
,,,,
,COMPL, (Complementary),,
#,_compl_Culture,Culture (Complementary),"The complementary to Culture, representing the inverse level of cultural sophistication in society.",
#,_compl_Education,Education (Complementary),"The complementary to Education, representing the inverse level of educational attainment in the population.",
#,_compl_Technology,Technology (Complementary),"The complementary to Technology, representing the inverse level of technological advancement in society.",
#,_compl_WWTrauma,World War Trauma (Complementary),"The complementary to World War Trauma, representing the inverse level of historical war trauma in the collective memory.",
#,_compl_GenderEquality,Gender Equality (Complementary),"The complementary to Gender Equality, representing the inverse level of equality between genders in society.",
#,_compl_Equality,Equality (Complementary),"The complementary to Equality, representing the inverse level of general social and economic equality.",
#,_compl_MentalHealth,Mental Health (Complementary),"The complementary to Mental Health, representing the inverse level of psychological well-being in the population.",
#,_compl_AbortionLaw,Abortion Law (Complementary),"The complementary to Abortion Law, representing the inverse level of abortion access and rights.",
#,_compl_FamilyPlanning,Family Planning (Complementary),"The complementary to Family Planning, representing the inverse level of access to reproductive healthcare and family planning services.",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Closed,Closed,,
,Open,Open,,
,Spontaneous,Spontaneous,,
,Costientious,Costientious,,
,Introverted,Introverted,,
,Extroverted,Extroverted,,
,Hostile,Hostile,,
,Agreeable,Agreeable,,
,Stable,Stable,,
,Neurotic,Neurotic,,
,,,,
#,Coequality,Coequality,"A measure of how evenly opportunities and resources are distributed across different social groups and demographics.",
,,,,
